Anc_1206_alt2_001.clean.pdb:A:D:E:B	Anc_1206_alt2_001.clean.pdb:A:D:E:B	1.0000	1.0000	0.00	1.000	1.000	1.000	1860	1860	1860
Anc_1206_alt2_001.clean.pdb:A:D:E:B	Anc_1206_alt3_001.clean.pdb:D:A:B:E	0.9981	0.9981	0.60	0.859	0.859	0.859	1860	1860	1860
Anc_1206_alt2_001.clean.pdb:A:D:E:B	Anc_1206_alt4_001.clean.pdb:A:D:E:B	0.9973	0.9973	0.71	0.865	0.865	0.865	1860	1860	1860
Anc_1206_alt2_001.clean.pdb:A:D:E:B	Anc_1206_alt5_001.clean.pdb:A:D:E:B	0.9979	0.9979	0.63	0.852	0.852	0.852	1860	1860	1860
Anc_1206_alt2_001.clean.pdb:A:D:E:B	Anc_1206_altall_001.clean.pdb:D:A:B:E	0.9965	0.9965	0.85	0.848	0.848	0.848	1860	1860	1860
Anc_1206_alt2_001.clean.pdb:A:D:E:B	Anc_1206_map_001.clean.pdb:A:D:E:B	0.9981	0.9981	0.59	0.872	0.872	0.872	1860	1860	1860
Anc_1206_alt3_001.clean.pdb:D:A:E:B	Anc_1206_alt2_001.clean.pdb:A:D:B:E	0.9981	0.9981	0.60	0.859	0.859	0.859	1860	1860	1860
Anc_1206_alt3_001.clean.pdb:D:A:E:B	Anc_1206_alt3_001.clean.pdb:D:A:E:B	1.0000	1.0000	0.00	1.000	1.000	1.000	1860	1860	1860
Anc_1206_alt3_001.clean.pdb:D:A:E:B	Anc_1206_alt4_001.clean.pdb:D:A:E:B	0.9972	0.9972	0.74	0.866	0.866	0.866	1860	1860	1860
Anc_1206_alt3_001.clean.pdb:D:A:E:B	Anc_1206_alt5_001.clean.pdb:D:A:E:B	0.9985	0.9985	0.54	0.870	0.870	0.870	1860	1860	1860
Anc_1206_alt3_001.clean.pdb:D:A:E:B	Anc_1206_altall_001.clean.pdb:D:A:E:B	0.9963	0.9963	0.85	0.844	0.844	0.844	1860	1860	1860
Anc_1206_alt3_001.clean.pdb:D:A:E:B	Anc_1206_map_001.clean.pdb:A:D:B:E	0.9981	0.9981	0.60	0.889	0.889	0.889	1860	1860	1860
Anc_1206_alt4_001.clean.pdb:D:A:B:E	Anc_1206_alt2_001.clean.pdb:D:A:B:E	0.9973	0.9973	0.71	0.865	0.865	0.865	1860	1860	1860
Anc_1206_alt4_001.clean.pdb:D:A:B:E	Anc_1206_alt3_001.clean.pdb:D:A:B:E	0.9972	0.9972	0.74	0.866	0.866	0.866	1860	1860	1860
